,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
278,Lahiru Kumara,Sri Lanka,Unsold,Bowler,5000000,49860.0
279,Joel Paris,Australia,Unsold,Bowler,5000000,49860.0
280,S. Sreesanth,India,Unsold,Bowler,5000000,49860.0
281,Oshane Thomas,West Indies,Unsold,Bowler,5000000,49860.0
282,Blair Tickner,New Zealand,Unsold,Bowler,5000000,49860.0
283,Isuru Udana,Sri Lanka,Unsold,Bowler,5000000,49860.0
284,Mark Adnair,Ireland,Unsold,All-Rounder,5000000,49860.0
285,Hilton Cartwright,Australia,Unsold,All-Rounder,5000000,49860.0
286,Gareth Delany,Ireland,Unsold,All-Rounder,5000000,49860.0
287,Danushka Gunatilaka,Sri Lanka,Unsold,All-Rounder,5000000,49860.0
288,Anaru Kitchen,New Zealand,Unsold,All-Rounder,5000000,49860.0
289,Dhananjaya Lakshan,Sri Lanka,Unsold,All-Rounder,5000000,49860.0
290,Sisanda Magala,South Africa,Unsold,All-Rounder,5000000,49860.0
291,Andile Phehlukwayo,South Africa,Unsold,All-Rounder,5000000,49860.0
292,Seekkuge Prasanna,Sri Lanka,Unsold,All-Rounder,5000000,49860.0
293,Raymon Reifer,West Indies,Unsold,All-Rounder,5000000,49860.0
294,Brad Wheal,Scotland,Unsold,Bowler,5000000,49860.0
295,Sandeep Lamichhane,Nepal,Unsold,Bowler,4000000,39888.0
296,Tom Kohler-Cadmore,England,Unsold,Batsman,4000000,39888.0
297,Laurie Evans,England,Unsold,Batsman,4000000,39888.0
298,Arun Karthick,India,Unsold,Wicket-Keeper,4000000,39888.0
299,Kennar Lewis,West Indies,Unsold,Wicket-Keeper,4000000,39888.0
300,Ali Khan,USA,Unsold,Bowler,4000000,39888.0
301,Chris Green,Australia,Unsold,All-Rounder,4000000,39888.0
302,Ben Dwarshuis,Australia,Unsold,Bowler,3000000,29916.0
303,Jalaj Saxena,India,Unsold,Bowler,3000000,29916.0
304,Matt Kelly,Australia,Unsold,Bowler,3000000,29916.0
305,Rajat Patidar,India,Unsold,Batsman,2000000,19944.0
306,Mohammed Azharuddeen,India,Unsold,Wicket-Keeper,2000000,19944.0
307,Vishnu Solanki,India,Unsold,Wicket-Keeper,2000000,19944.0
308,M. Siddharth,India,Unsold,Bowler,2000000,19944.0
309,Sachin Baby,India,Unsold,Batsman,2000000,19944.0
310,Ricky Bhui,India,Unsold,Batsman,2000000,19944.0
311,Himanshu Rana,India,Unsold,Batsman,2000000,19944.0
312,Harnoor Singh,India,Unsold,Batsman,2000000,19944.0
313,Himmat Singh,India,Unsold,Batsman,2000000,19944.0
314,Virat Singh,India,Unsold,Batsman,2000000,19944.0
315,Arzan Nagwaswalla,India,Unsold,Bowler,2000000,19944.0
316,Akash Singh,India,Unsold,Bowler,2000000,19944.0
317,Vasu Vats,India,Unsold,Bowler,2000000,19944.0
318,Mujtaba Yousuf,India,Unsold,Bowler,2000000,19944.0
319,Tanmay Agarwal,India,Unsold,Batsman,2000000,19944.0
320,Shivam Chauhan,India,Unsold,Batsman,2000000,19944.0
